Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.502445171
1,1,0,0,1,1,0,0,1,0,1,0,0,0.612381013,0.786845294
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26819587,-0.488854258
1,1,0,0,1,0,0,1,1,0,1,0,0,0.392236792,0.420730236
0,0,0,1,0,0,0,1,0,1,0,0,1,0.392236792,-0.486337422
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.478063915,-0.478116429
0,0,0,0,1,0,0,1,0,1,1,0,0,1.786483524,0.395813561
0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029349637,-0.224083121
1,0,2,1,0,0,0,1,1,0,0,0,1,-0.194814463,-0.424256141
1,1,0,1,0,1,0,0,1,0,0,1,0,-1.148772754,-0.042955502
1,1,1,0,1,0,0,1,1,0,0,0,1,-1.882586823,-0.312172378
1,0,0,0,1,0,0,1,1,0,1,0,0,2.080009152,-0.113845709
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.708484312,-0.486337422
0,1,5,1,0,0,0,1,0,1,0,0,1,0.68576242,-0.018709312
0,0,0,1,0,0,0,1,1,0,0,0,1,-1.148772754,-0.490279793
1,0,0,1,0,0,0,1,1,0,0,1,0,1.859864931,-0.326266659
0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029349637,-0.061998889
1,0,0,1,0,0,0,1,0,1,0,1,0,0.178289509,-0.38667072
0,1,0,1,0,0,0,1,1,0,0,0,1,0.098711164,-0.285997284
1,0,0,1,0,1,0,0,1,0,0,0,1,0.008993116,-0.502948539
0,0,0,1,0,0,0,1,0,1,0,1,0,0.392236792,-0.124919787
1,0,0,0,1,0,0,1,0,1,0,1,0,0.318855385,-0.38667072
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.075391347,-0.486756223
1,0,0,0,1,0,0,1,0,1,1,0,0,-0.121433057,0.066359742
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.589061195,-0.224083121
1,1,5,1,0,0,0,1,1,0,0,0,1,0.612381013,-0.016444159
0,0,0,1,0,1,0,0,0,1,0,0,1,0.008993116,-0.502948539
0,3,2,0,1,0,0,1,0,1,1,0,0,-0.781865719,4.647001077
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.556259897,-0.489776426
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.130785677,-0.48944219
0,0,0,1,0,1,0,0,0,1,1,0,0,0.759143827,-0.090272017
1,1,0,0,1,1,0,0,1,0,1,0,0,0.496700117,2.301728821
1,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
0,0,0,1,0,0,0,1,0,1,0,1,0,2.667060407,-0.437007438
0,1,0,1,0,1,0,0,0,1,1,0,0,-0.121433057,1.0060617
0,1,0,1,0,0,0,1,0,1,1,0,0,0.905906641,0.39858208
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.500576315,-0.502863973
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.635102905,-0.486337422
0,2,0,1,0,0,0,1,1,0,0,0,1,-0.855247126,-0.285997284
1,1,0,1,0,1,0,0,1,0,0,0,1,-1.148772754,-0.422073541
0,1,0,1,0,0,0,1,1,0,0,0,1,0.759143827,-0.457645492
0,1,0,1,0,0,0,1,1,0,0,1,0,-0.194814463,-0.225593223
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.130785677,-0.48944219
1,1,2,1,0,1,0,0,1,0,0,1,0,-1.95596823,0.188762532
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.781865719,-0.489776426
0,0,0,1,0,0,0,1,0,1,0,0,1,0.084094691,-0.486337422
0,1,0,1,0,0,1,0,0,1,0,0,1,0.261371536,-0.336334002
1,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
0,2,0,1,0,1,0,0,0,1,0,0,1,-0.500791999,-0.211917743
0,1,0,1,0,0,0,1,1,0,0,0,1,-0.855247126,-0.290024222
0,4,1,1,0,0,0,1,0,1,0,0,1,-1.662442602,0.150673744
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.635102905,-0.491371093
1,1,0,0,1,1,0,0,1,0,1,0,0,1.419576489,0.896496787
1,1,0,1,0,0,0,1,1,0,0,1,0,-0.04805165,-0.124919787
0,0,1,0,1,1,0,0,0,1,1,0,0,2.593679001,0.599510151
1,0,0,0,1,0,0,1,0,1,1,0,0,1.144628733,0.066359742
1,0,0,1,0,0,0,1,1,0,0,1,0,-0.635102905,-0.437007438
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.084742353,-0.502863973
1,1,2,1,0,0,0,1,1,0,0,1,0,-1.809205416,-0.089684084
0,5,2,1,0,0,0,1,0,1,0,0,1,-1.368916975,0.295895176
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.561721498,-0.502863973
1,0,0,0,1,0,0,0,1,0,1,0,0,0.612381013,0.962353321
0,1,0,0,1,0,0,1,0,1,1,0,0,1.126050862,1.032321359
0,3,2,1,0,0,0,1,0,1,0,0,1,-1.882586823,-0.086663881
0,0,0,1,0,1,0,0,0,1,1,0,0,0.810848017,-0.090272017
1,1,1,1,0,1,0,0,0,1,0,0,1,-0.880759395,-0.34145224
1,0,0,0,1,0,0,1,1,0,0,1,0,-0.04805165,-0.437007438
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.781865719,-0.484156835
1,4,2,1,0,0,0,1,1,0,0,0,1,-0.928628533,-0.488854258
0,2,0,1,0,0,0,1,0,1,0,0,1,-0.26819587,-0.474004926
0,0,0,1,0,0,0,1,0,1,0,1,0,0.172092571,-0.437007438
0,5,2,1,0,0,0,1,1,0,0,0,1,-1.00200994,0.295895176
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.635102905,0.831477855
0,1,0,1,0,1,0,0,0,1,0,0,1,-0.26819587,-0.357390858
1,0,0,1,0,0,0,1,0,1,0,0,1,0.172092571,0.489103607
0,0,0,0,1,0,0,1,0,1,0,0,1,-0.341577277,-0.494391297
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.130785677,-0.48944219
0,0,0,1,0,0,0,1,0,1,0,0,1,0.084094691,-0.486337422
1,0,2,1,0,0,0,1,0,1,0,1,0,-2.115205883,-0.064515725
1,0,0,1,0,0,0,1,1,0,0,0,1,0.025329757,-0.397241431
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.467209469
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.04805165,-0.457142125
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.458966996,-0.491622777
0,0,0,1,0,0,0,1,0,1,1,0,0,-0.121433057,0.299922113
1,0,0,1,0,0,0,1,1,0,0,1,0,-0.928628533,-0.437007438
1,3,0,1,0,0,0,1,1,0,0,0,1,0.245473978,-0.329286862
0,1,3,1,0,0,0,1,0,1,0,0,1,-1.00200994,0.043708218
0,0,0,1,0,0,0,1,0,1,0,0,1,0.084094691,-0.486337422
1,3,2,0,1,0,0,1,1,0,1,0,0,-0.488340091,4.647001077
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.414958684,-0.486337422
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.04805165,-0.486337422
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.708484312,-0.490279793
0,1,0,0,1,0,0,1,0,1,1,0,0,1.199432269,0.583317835
0,1,2,1,0,0,0,1,0,1,0,0,1,-0.26819587,-0.234150465
0,0,0,1,0,0,0,1,0,1,0,0,1,2.153390559,-0.502445171
0,0,0,1,0,0,0,1,0,1,0,0,1,0.084094691,-0.486337422
0,0,0,0,1,1,0,0,0,1,1,0,0,3.033967442,0.049329823
1,0,1,0,1,1,0,0,0,1,1,0,0,-0.488340091,0.627277898
1,0,1,1,0,0,0,1,1,0,0,1,0,0.318855385,-0.185323848
0,1,0,1,0,0,0,1,0,1,0,1,0,0.318855385,-0.124919787
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.121433057,-0.48944219
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.130785677,-0.48944219
0,0,1,0,1,0,0,1,0,1,1,0,0,-0.635102905,0.907737982
0,0,0,1,0,0,0,1,0,1,0,0,1,0.245473978,-0.474172044
0,2,0,1,0,0,0,1,0,1,0,0,1,0.538999606,-0.488854258
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.121433057,-0.48944219
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.635102905,-0.494391297
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.148689639,-0.491874461
0,0,0,1,0,0,0,1,0,1,0,0,1,0.612381013,-0.48944219
1,1,0,1,0,0,1,0,1,0,0,0,1,0.256945938,-0.162168958
0,0,0,0,1,0,0,1,0,1,1,0,0,1.272813675,0.39858208
0,1,0,1,0,1,0,0,1,0,0,0,1,-1.11208205,-0.357390858
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.486337422
0,1,0,1,0,0,0,1,1,0,0,0,1,-0.708484312,-0.450598352
0,0,0,1,0,1,0,0,1,0,0,0,1,-0.928628533,-0.357308306
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.635102905,-0.488854258
0,0,0,1,0,0,1,0,0,1,0,0,1,2.997276739,-0.492377828
0,1,0,1,0,0,0,1,0,1,0,1,0,-0.04805165,-0.225593223
0,0,1,0,1,1,0,0,0,1,1,0,0,-0.414958684,4.335332227
0,4,2,1,0,0,0,1,1,0,0,0,1,-2.029349637,-0.018709312
0,2,0,1,0,0,0,1,0,1,0,1,0,-0.635102905,0.831477855
0,0,0,1,0,0,0,1,0,1,0,0,1,0.084094691,-0.486337422
0,1,0,1,0,1,0,0,0,1,0,1,0,0.208783275,-0.042955502
1,0,0,0,1,0,0,1,1,0,0,1,0,0.208783275,-0.38667072
0,0,1,0,1,0,0,1,0,1,1,0,0,1.786483524,0.907737982
1,1,0,1,0,1,0,0,0,1,0,0,1,-1.295535568,-0.422073541
0,0,0,1,0,0,1,0,0,1,0,0,1,0.433007703,-0.492377828
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.414958684,-0.504625758
1,1,1,0,1,1,0,0,1,0,0,0,1,-0.272121776,-0.198244277
0,0,0,1,0,0,0,1,0,1,0,0,1,1.126050862,-0.50798221
0,0,0,1,0,1,0,0,0,1,0,0,1,0.245473978,-0.48944219
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.708484312,-0.506472109
0,1,0,1,0,0,0,1,1,0,0,0,1,1.272813675,-0.356468689
1,1,0,1,0,0,0,1,1,0,0,1,0,-0.04805165,-0.124919787
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.341577277,-0.38667072
0,0,0,1,0,1,0,0,0,1,0,1,0,-0.488340091,-0.345479177
1,0,2,0,1,0,0,1,1,0,1,0,0,-0.781865719,-0.11921563
0,1,0,0,1,0,0,1,0,1,1,0,0,0.538999606,0.420730236
0,0,0,1,0,0,0,1,0,1,0,0,1,-1.00200994,-0.462846282
0,0,0,0,1,1,0,0,0,1,1,0,0,-0.414958684,0.946245572
0,0,2,1,0,1,0,0,1,0,0,0,1,-0.341980875,-0.34145224
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.561721498,-0.492377828
1,1,0,1,0,0,0,1,1,0,0,0,1,-0.414958684,-0.329286862
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.781865719,-0.512512515
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855247126,-0.416872751
0,1,1,1,0,0,0,1,0,1,0,1,0,-0.781865719,0.091528101
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.194814463,-0.491455659
0,2,2,1,0,0,0,1,1,0,0,0,1,-1.515679789,0.043708218
0,0,2,0,1,0,0,1,0,1,0,1,0,0.502308903,-0.124919787
0,0,0,1,0,0,0,1,0,1,0,1,0,0.905906641,-0.38667072
0,0,0,1,0,0,0,1,0,1,0,1,0,1.566339303,-0.396234697
1,1,0,0,1,0,0,1,1,0,1,0,0,-0.561721498,0.692548513
0,0,0,1,0,0,0,1,0,1,0,0,1,1.896555635,-0.486337422
0,0,2,1,0,0,0,1,0,1,0,0,1,0.79583453,-0.356468689
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.005708034,-0.501186753
0,0,1,1,0,1,0,0,0,1,1,0,0,1.566339303,0.587429338
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.00200994,-0.492714077
0,0,0,1,0,0,0,1,0,1,0,0,1,0.025329757,-0.486337422
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.293675114,-0.474004926
0,8,2,1,0,0,0,1,0,1,0,0,1,-1.378926363,0.75194584
0,0,1,1,0,0,0,1,0,1,0,0,1,1.052669455,-0.32425319
1,0,0,1,0,0,0,1,1,0,0,1,0,0.759143827,-0.33130033
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.26819587,-0.491874461
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.928628533,-0.474004926
0,4,1,1,0,0,0,1,0,1,0,0,1,-2.102731044,0.150673744
1,0,2,1,0,0,0,1,0,1,0,0,1,-1.515679789,-0.235157199
1,0,1,0,1,0,0,1,1,0,1,0,0,-0.28536712,0.458986142
0,1,4,1,0,0,0,1,1,0,0,0,1,1.126050862,-0.086663881
0,0,0,1,0,0,0,1,0,1,1,0,0,1.428515917,-0.126429888
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.121433057,0.489103607
0,0,0,0,1,0,0,1,0,1,1,0,0,2.300153373,0.026090367
0,4,1,1,0,0,1,0,0,1,0,0,1,-1.882586823,-0.061998889
1,1,1,1,0,0,0,1,1,0,0,0,1,-2.102731044,-0.424256141
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.635102905,-0.488854258
0,0,0,0,1,1,0,0,0,1,1,0,0,1.933246338,-0.030371323
0,1,1,1,0,0,0,1,0,1,0,0,1,-0.855247126,-0.490279793
0,3,1,1,0,0,0,1,0,1,0,0,1,-1.648820305,-0.135657615
0,0,0,0,1,1,0,0,1,0,1,0,0,1.492957896,-0.070304448
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025329757,-0.38667072
0,0,0,1,0,0,0,1,0,1,0,0,1,0.465618199,-0.648421654
0,8,2,1,0,0,0,1,1,0,0,0,1,-1.378926363,0.75194584
0,0,0,1,0,1,0,0,0,1,0,1,0,0.152174761,-0.345394611
0,4,2,1,0,0,0,1,0,1,0,0,1,-1.515679789,-0.016444159
1,2,1,0,1,0,0,1,0,1,0,1,0,-2.102731044,0.136831147
1,0,2,1,0,0,0,1,1,0,0,0,1,-1.882586823,-0.204955168
0,0,0,0,1,0,0,1,0,1,1,0,0,1.240489166,0.358312706
1,1,0,1,0,0,1,0,1,0,0,0,1,0.261371536,-0.336334002
1,0,0,1,0,0,0,1,0,1,1,0,0,1.126050862,-0.113845709
0,1,1,1,0,0,1,0,0,1,0,0,1,0.759143827,-0.336334002
0,0,0,1,0,0,0,1,0,1,0,0,1,0.465618199,-0.48944219
1,0,0,1,0,0,0,1,1,0,0,1,0,0.172092571,-0.38667072
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781865719,-0.38667072
1,1,0,1,0,0,0,1,1,0,0,0,1,-0.781865719,-0.490279793
1,1,1,0,1,0,0,1,0,1,0,1,0,-1.95596823,-0.124919787
1,0,0,0,1,1,0,0,1,0,1,0,0,1.052669455,-0.090272017
1,0,0,0,1,1,0,0,1,0,1,0,0,2.080009152,2.301728821
0,0,0,1,0,0,1,0,0,1,0,0,1,0.433007703,-0.492377828
0,0,1,1,0,0,0,1,0,1,0,0,1,0.905906641,-0.479205715
1,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
0,0,0,1,0,0,0,1,1,0,0,1,0,-0.414958684,-0.38667072
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.121433057,-0.457142125
0,8,2,1,0,0,0,1,0,1,0,0,1,-1.378926363,0.75194584
0,0,0,1,0,0,0,1,0,1,0,0,1,0.318855385,-0.517630753
0,0,0,1,0,1,0,0,0,1,0,0,1,1.162741565,-0.502948539
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.855247126,-0.486337422
0,0,1,0,1,0,0,1,1,0,0,0,1,-2.029349637,-0.437762489
0,1,0,1,0,0,0,1,0,1,0,0,1,0.172092571,-0.329286862
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.26819587,-0.270141218
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.00200994,-0.492377828
1,0,0,0,1,1,0,0,0,1,1,0,0,0.759143827,-0.024246351
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.414958684,-0.506472109
1,0,0,1,0,0,0,1,1,0,0,1,0,0.392236792,-0.225593223
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.502445171
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025329757,-0.38667072
0,1,0,1,0,0,1,0,0,1,0,0,1,0.155274526,-0.492377828
1,1,0,0,1,1,0,0,1,0,1,0,0,0.098711164,1.632335038
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.194814463,-0.488854258
0,1,0,1,0,0,0,1,0,1,0,1,0,0.905906641,-0.1047851
1,0,0,0,1,1,0,0,1,0,1,0,0,0.172092571,0.887687861
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025329757,-0.437007438
1,0,0,1,0,0,0,1,0,1,0,0,1,-1.00200994,-0.486337422
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.194814463,-0.38667072
0,0,0,1,0,0,0,1,0,1,0,0,1,1.566339303,-0.486337422
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.130785677,-0.48944219
1,1,0,0,1,0,0,1,0,1,1,0,0,0.612381013,1.163700193
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.460162328
1,0,0,1,0,0,0,1,0,1,0,1,0,-0.781865719,-0.437007438
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.671793609,-0.502445171
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855247126,-0.38667072
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.648820305,-0.135657615
1,1,0,0,1,0,0,1,1,0,1,0,0,0.392236792,1.032321359
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.04805165,-0.491874461
0,0,0,1,0,0,0,1,0,1,0,1,0,2.153390559,-0.376603377
1,4,2,1,0,0,0,1,1,0,0,0,1,-1.809205416,-0.016444159
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.414958684,-0.437007438
0,0,0,1,0,0,0,1,1,0,0,0,1,0.145626344,-0.496404765
0,1,0,1,0,0,0,1,0,1,0,1,0,1.052669455,-0.124919787
1,0,2,1,0,0,0,1,1,0,0,1,0,-1.589061195,-0.119886115
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781865719,-0.437007438
0,0,0,1,0,0,0,1,0,1,0,1,0,0.245473978,-0.401268368
0,1,0,1,0,1,0,0,1,0,0,0,1,-0.660985271,-0.357390858
1,1,0,1,0,0,1,0,1,0,0,0,1,0.261371536,-0.336334002
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.04805165,-0.437007438
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.504962007
0,0,0,1,0,1,0,0,0,1,0,0,1,0.025329757,-0.502948539
0,2,0,0,1,0,1,0,0,1,1,0,0,1.052669455,1.163700193
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.341577277,-0.491874461
1,0,2,1,0,0,0,1,1,0,0,1,0,-0.414958684,-0.356468689
1,1,1,0,1,0,0,1,0,1,1,0,0,0.538999606,0.409740724
0,1,0,1,0,0,0,1,0,1,0,1,0,1.786483524,-0.124919787
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.005708034,-0.502445171
0,1,1,0,1,0,0,1,1,0,0,0,1,-0.04805165,-0.437762489
0,0,0,0,1,0,0,1,0,1,1,0,0,2.37353478,-0.113845709
0,1,0,1,0,0,0,1,0,1,0,0,1,0.025329757,-0.32425319
0,0,2,1,0,0,0,1,1,0,0,0,1,0.832525234,-0.241449289
1,0,2,1,0,1,0,0,1,0,0,0,1,-0.04805165,-0.34145224
1,0,0,1,0,1,0,0,1,0,1,0,0,0.45529064,0.946245572
1,0,0,0,1,0,0,1,1,0,1,0,0,0.025329757,1.093228788
1,0,0,1,0,1,0,0,1,0,1,0,0,0.392236792,9.667166525
1,0,1,1,0,0,0,1,1,0,0,1,0,1.492957896,-0.124919787
0,0,0,1,0,0,1,0,0,1,0,0,1,0.433007703,-0.492377828
1,4,2,1,0,0,0,1,0,1,0,0,1,-1.95596823,-0.016444159
0,1,1,0,1,0,0,1,0,1,1,0,0,1.63972071,0.955306181
0,0,0,0,1,0,0,1,0,1,1,0,0,0.759143827,-0.648421654
0,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
0,0,0,1,0,0,0,1,0,1,0,1,0,0.465618199,-0.437007438
0,4,1,1,0,0,0,1,0,1,0,0,1,-1.00200994,0.150673744
1,1,0,1,0,0,0,1,0,1,0,0,1,-0.341577277,-0.491874461
1,0,1,0,1,0,0,1,1,0,1,0,0,2.080009152,2.441497779
1,0,0,0,1,0,0,1,1,0,1,0,0,0.392236792,2.082512414
0,0,0,1,0,0,0,1,0,1,1,0,0,0.482834292,-0.024246351
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.341577277,-0.648421654
1,0,1,1,0,0,0,1,1,0,0,1,0,0.832525234,-0.255795253
0,0,1,0,1,1,0,0,0,1,1,0,0,0.538999606,-0.050421444
1,0,0,1,0,0,1,0,1,0,0,0,1,0.433007703,-0.492377828
1,1,0,0,1,0,0,1,1,0,1,0,0,2.446916187,0.921244331
0,0,0,1,0,0,0,1,1,0,0,0,1,1.126050862,-0.492377828
0,0,0,1,0,0,0,1,0,1,0,1,0,0.389287607,-0.648421654
0,4,1,1,0,0,1,0,0,1,0,0,1,-1.662442602,-0.061998889
1,1,1,1,0,0,0,1,1,0,0,0,1,0.392236792,-0.240694238
0,0,0,1,0,0,1,0,0,1,0,0,1,2.593679001,-0.492377828
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.121433057,-0.490279793
0,0,0,1,0,0,0,1,0,1,0,0,1,-1.00200994,-0.457142125
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.781865719,-0.486337422
0,0,0,0,1,0,0,1,0,1,1,0,0,2.063149774,-0.124919787
0,0,0,1,0,1,0,0,0,1,0,0,1,0.245473978,-0.474004926
1,0,0,1,0,0,0,1,0,1,0,0,1,0.025329757,-0.457142125
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.561721498,-0.48944219
1,0,0,1,0,0,0,1,0,1,0,1,0,0.905906641,-0.38667072
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.561721498,-0.492377828
1,0,0,1,0,0,0,1,1,0,1,0,0,-0.26819587,0.939198431
1,1,0,0,1,1,0,0,1,0,1,0,0,-0.781865719,1.185429548
0,0,0,0,1,1,0,0,0,1,0,1,0,0.465618199,-0.389187556
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.414958684,-0.470229672
